DB ID,Model No.,Frequency_Hz,Phase,HP,Power(KW),Outlet (mm),Outlet (inch),Pass Solid Dia(mm),Max Flow (LPM),Max Head (M),Max Head (ft),Category,Product Link,Head Rated/M,Q Rated/LPM,id
700,DSP-10,60,3,1,750W,50,"2""",30.0,400,14,46,Dirty Water,https://www.hungpump.com/dsp,9.0,180.0,ff11588e-3f0a-4865-893e-925843534020
701,DSP-100,60,3,10,7.5kW,150,"6""",65.0,2500,28,92,Dirty Water,https://www.hungpump.com/dsp,9.0,1800.0,1106025c-1bbd-4197-a4e7-ab17b010f4c7
702,DSP-100,60,3,10,7.5kW,150,"6""",65.0,2500,28,92,Dirty Water,https://www.hungpump.com/dsp,9.0,1800.0,57e33c6d-479e-4de9-b8b2-5b8b6c63536d
703,DSP-100,60,3,10,7.5kW,150,"6""",65.0,2500,28,92,Dirty Water,https://www.hungpump.com/dsp,9.0,1800.0,7629323a-ebf3-4430-9ca0-b9df395996ce
704,DSP-150,60,3,15,11kW,150,"6""",65.0,3200,32,105,Dirty Water,https://www.hungpump.com/dsp,12.0,2050.0,c6859205-8cdb-46ac-860f-de2504514e36
705,DSP-150,60,3,15,11kW,150,"6""",65.0,3200,32,105,Dirty Water,https://www.hungpump.com/dsp,12.0,2050.0,4b56c7dd-3623-4347-bf3f-5277a9df5002
706,DSP-150,60,3,15,11kW,150,"6""",65.0,3200,32,105,Dirty Water,https://www.hungpump.com/dsp,12.0,2050.0,0fad96f6-c835-4526-868f-108e80ee4f5c
707,DSP-20,60,1,2,1.5kW,80,"3""",40.0,880,18,59,Dirty Water,https://www.hungpump.com/dsp,12.0,410.0,16838cc4-0f9d-4eb0-be31-04bb58714750
708,DSP-20,60,3,2,1.5kW,80,"3""",40.0,880,18,59,Dirty Water,https://www.hungpump.com/dsp,12.0,410.0,e8859d7d-569b-4dc1-ab85-76921c79efdb
709,DSP-20,60,3,2,1.5kW,80,"3""",40.0,880,18,59,Dirty Water,https://www.hungpump.com/dsp,12.0,410.0,a7c65085-1228-49cc-8282-64e01172d668
710,DSP-30,60,1,3,2.2kW,80,"3""",40.0,1200,20,66,Dirty Water,https://www.hungpump.com/dsp,12.0,700.0,1ad7727c-37df-4034-96ad-4c7273a365d4
711,DSP-30,60,3,3,2.2kW,80,"3""",40.0,1200,20,66,Dirty Water,https://www.hungpump.com/dsp,12.0,700.0,0b03d5e3-5709-49a0-9df3-f66605789da0
712,DSP-30,60,3,3,2.2kW,80,"3""",40.0,1200,20,66,Dirty Water,https://www.hungpump.com/dsp,12.0,700.0,ef32cb3d-b66d-4bab-9d66-7ebbd86f62ec
713,DSP-50,60,3,5,3.7kW,100,"4""",45.0,1300,22,72,Dirty Water,https://www.hungpump.com/dsp,12.0,870.0,d818d8c9-1ad0-46f7-9add-25cafb844872
714,DSP-50,60,3,5,3.7kW,100,"4""",45.0,1300,22,72,Dirty Water,https://www.hungpump.com/dsp,12.0,870.0,5b86f59c-371f-44d3-9d45-a96bb28500d6
715,DSP-50,60,3,5,3.7kW,100,"4""",45.0,1300,22,72,Dirty Water,https://www.hungpump.com/dsp,12.0,870.0,1fe6961e-ec4a-4ca8-90be-fe2456eb6de2
716,DSP-75,60,3,7.5,5.5kW,100,"4""",50.0,2100,34,112,Dirty Water,https://www.hungpump.com/dsp,9.0,1250.0,e0474ed3-3d33-4702-9502-0866bd2badab
717,DSP-75,60,3,7.5,5.5kW,100,"4""",50.0,2100,34,112,Dirty Water,https://www.hungpump.com/dsp,9.0,1250.0,8a907c3a-ab87-4831-9ed1-661ec933ff33
718,DSPK-10,60,1,1,750W,50,"2""",30.0,400,14,46,Dirty Water,https://www.hungpump.com/dsp,9.0,180.0,a28bc144-3bb9-4717-b1ff-30b1f280d46a
719,DSPK-10,60,1,1,750W,50,"2""",30.0,400,14,46,Dirty Water,https://www.hungpump.com/dsp,9.0,180.0,bb84ee31-6ff6-4c61-8675-9ed5d3d3deb8
721,DSPK-10,60,3,1,750W,50,"2""",30.0,400,14,46,Dirty Water,https://www.hungpump.com/dsp,9.0,180.0,aba068d9-e20d-4961-a1ad-fc23ea9befd9
722,DSPK-10,60,3,1,750W,50,"2""",30.0,400,14,46,Dirty Water,https://www.hungpump.com/dsp,9.0,180.0,ff5ad4c8-d565-4085-b87d-73a02e3047ca
723,DSPK-10,60,3,1,750W,50,"2""",30.0,400,14,46,Dirty Water,https://www.hungpump.com/dsp,9.0,180.0,2316907c-a416-40ed-91be-5e76c3bf661d
724,DSPK-100,60,3,10,7.5kW,150,"6""",65.0,2500,28,92,Dirty Water,https://www.hungpump.com/dsp,9.0,1800.0,6d9c78a6-27f8-435a-acbf-f41fba94560f
725,DSPK-100,60,3,10,7.5kW,150,"6""",65.0,2500,28,92,Dirty Water,https://www.hungpump.com/dsp,9.0,1800.0,d83cfb64-28af-429c-9c59-5e327d8da009
727,DSPK-100,60,3,10,7.5kW,150,"6""",65.0,2500,28,92,Dirty Water,https://www.hungpump.com/dsp,9.0,1800.0,5046fab5-e4e8-409f-9147-d28c26765092
728,DSPK-150,60,3,15,11kW,150,"6""",65.0,3200,32,105,Dirty Water,https://www.hungpump.com/dsp,12.0,2050.0,5c08b4b9-8537-487e-afbe-dda101c3a2db
729,DSPK-150,60,3,15,11kW,150,"6""",65.0,3200,32,105,Dirty Water,https://www.hungpump.com/dsp,12.0,2050.0,acddb9d7-92dc-4ca9-8ab7-74e2019f1614
731,DSPK-150,60,3,15,11kW,150,"6""",65.0,3200,32,105,Dirty Water,https://www.hungpump.com/dsp,12.0,2050.0,2b5ba6b9-379c-4aa8-bae9-d0f698c11f54
732,DSPK-20,60,1,2,1.5kW,80,"3""",40.0,880,18,59,Dirty Water,https://www.hungpump.com/dsp,12.0,410.0,d9296fec-f6e5-4a23-9cce-c9de8f5a3d20
733,DSPK-20,60,3,2,1.5kW,80,"3""",40.0,880,18,59,Dirty Water,https://www.hungpump.com/dsp,12.0,410.0,a4db8af2-a5c4-4243-a7a5-19d9664d585c
734,DSPK-20,60,3,2,1.5kW,80,"3""",40.0,880,18,59,Dirty Water,https://www.hungpump.com/dsp,12.0,410.0,920f3e43-f935-4631-8fa2-afd654269956
735,DSPK-30,60,1,3,2.2kW,80,"3""",40.0,1200,20,66,Dirty Water,https://www.hungpump.com/dsp,12.0,700.0,81ff20d4-ee06-46a6-9157-6aa863698ab9
736,DSPK-30,60,3,3,2.2kW,80,"3""",40.0,1200,20,66,Dirty Water,https://www.hungpump.com/dsp,12.0,700.0,3390e362-295f-438f-b5da-4e52f9075706
737,DSPK-30,60,3,3,2.2kW,80,"3""",40.0,1200,20,66,Dirty Water,https://www.hungpump.com/dsp,12.0,700.0,258ca6bc-6130-4ae9-b475-6d9721504ae3
741,DSPK-50,60,3,5,3.7kW,100,"4""",45.0,1300,22,72,Dirty Water,https://www.hungpump.com/dsp,12.0,870.0,591088be-1ac5-4130-a207-8e36f7518a29
742,DSPK-50,60,3,5,3.7kW,100,"4""",45.0,1300,22,72,Dirty Water,https://www.hungpump.com/dsp,12.0,870.0,bc6b449c-618d-4994-916f-4d86cd6a47ac
745,DSPK-50,60,3,5,3.7kW,100,"4""",45.0,1300,22,72,Dirty Water,https://www.hungpump.com/dsp,12.0,870.0,8b3dc1a6-4dd1-424e-b719-771e73d78bd8
746,DSPK-75,60,3,7.5,5.5kW,100,"4""",50.0,2100,34,112,Dirty Water,https://www.hungpump.com/dsp,9.0,1250.0,2f03effc-474c-4610-97dc-adee435177a4
747,DSPK-75,60,3,7.5,5.5kW,100,"4""",50.0,2100,34,112,Dirty Water,https://www.hungpump.com/dsp,9.0,1250.0,2777c400-cd3c-45bb-8cbc-abcbd76e0f27
749,FAS-150,60,1,1/5,150W,50,"2""",19.0,230,6,20,,https://www.hungpump.com/fas,4.0,100.0,3a9aeb18-4095-4a19-8206-e11af68d33bb
750,FAS-150,60,1,1/5,150W,50,"2""",19.0,230,6,20,,https://www.hungpump.com/fas,4.0,100.0,0e35e3e9-97db-47ba-8136-df840f8aba0a
751,FAS-250,60,1,1/3,250W,50,"2""",19.0,260,7,23,,https://www.hungpump.com/fas,4.0,155.0,783eddce-5845-4690-8375-b578cc6100b2
753,FAS-250,60,1,1/3,250W,50,"2""",19.0,260,7,23,,https://www.hungpump.com/fas,4.0,155.0,b545213d-2720-4ffe-9f0c-5f64fc20de43
754,FAS-400,60,1,1/2,400W,50,"2""",19.0,320,9,30,,https://www.hungpump.com/fas,6.0,200.0,dc4930d8-6207-4786-957a-f3d5537a3d08
756,FAS-400,60,1,1/2,400W,50,"2""",19.0,320,9,30,,https://www.hungpump.com/fas,6.0,200.0,04e59019-4cc0-4348-ab26-cc70db9cc6e9
757,FAS-750,60,1,1,750W,50,"2""",19.0,360,12,39,,https://www.hungpump.com/fas,8.0,215.0,6b6b9421-7109-4c07-96aa-1706d9206108
758,FAS-750,60,1,1,750W,50,"2""",19.0,360,12,39,,https://www.hungpump.com/fas,8.0,215.0,fed9861e-8b3d-416e-aabf-d41114a48b95
763,GC-07,60,1,3/4,550W,32,"1-1/4""",N/A,140,11,36,Grinder,https://www.hungpump.com/gc,6.0,110.0,0294e884-0b96-410d-95b8-a6b85804f204
765,GC-07,60,1,3/4,550W,32,"1-1/4""",N/A,140,11,36,Grinder,https://www.hungpump.com/gc,6.0,110.0,deda16b8-0298-4a64-8307-4bc5905cebb6
766,GC-07,60,3,3/4,550W,32,"1-1/4""",N/A,140,11,36,Grinder,https://www.hungpump.com/gc,6.0,110.0,dcd43e6d-a7ec-4e27-aa4a-df9ceee74f50
767,GC-07,60,3,3/4,550W,32,"1-1/4""",N/A,140,11,36,Grinder,https://www.hungpump.com/gc,6.0,110.0,59272248-8550-4f3a-bf4c-53385358ec42
768,GC-10,60,1,1,750W,32,"1-1/4""",N/A,160,16,52,Grinder,https://www.hungpump.com/gc,9.0,105.0,6ae5d8bb-173e-4ecf-b963-7a086062db3c
770,GC-10,60,1,1,750W,32,"1-1/4""",N/A,160,16,52,Grinder,https://www.hungpump.com/gc,9.0,105.0,c620cb29-ae39-4c3e-8ac4-417a3360214c
771,GC-10,60,3,1,750W,32,"1-1/4""",N/A,160,16,52,Grinder,https://www.hungpump.com/gc,9.0,105.0,9add69db-6c0c-4af9-ba26-e1bee8f46f6b
772,GC-10,60,3,1,750W,32,"1-1/4""",N/A,160,16,52,Grinder,https://www.hungpump.com/gc,9.0,105.0,7ebca082-ff2d-41c0-ba38-6e7c27e79a21
773,GC-20,60,1,2,1.5kW,32,"1-1/4""",N/A,180,26,85,Grinder,https://www.hungpump.com/gc,15.0,150.0,f8d2fe3b-64da-4976-92ee-63b8b66de340
774,GC-20,60,3,2,1.5kW,32,"1-1/4""",N/A,180,26,85,Grinder,https://www.hungpump.com/gc,15.0,150.0,00977147-42dc-4866-a21c-be8cfaf80e36
775,GC-20,60,3,2,1.5kW,32,"1-1/4""",N/A,180,26,85,Grinder,https://www.hungpump.com/gc,15.0,150.0,c13d2245-d208-4e0a-81d2-362d686e1e40
776,GC-30,60,3,3,2.2kW,50,"2""",N/A,180,36,118,Grinder,https://www.hungpump.com/gc,20.0,140.0,5ad2ff82-ecee-4444-af37-5d36ed26ff8d
777,GC-30,60,3,3,2.2kW,50,"2""",N/A,180,36,118,Grinder,https://www.hungpump.com/gc,20.0,140.0,4f9f6f8b-e521-4c37-861c-7355874dc8da
779,GC-50,60,3,5,3.7kW,65,"2-1/2""",N/A,320,42,138,Grinder,https://www.hungpump.com/gc,30.0,240.0,1ca5317a-098d-4053-8282-eb10cbeaa6b8
780,GC-50,60,3,5,3.7kW,65,"2-1/2""",N/A,320,42,138,Grinder,https://www.hungpump.com/gc,30.0,240.0,0c05bde5-3712-4479-a0bc-673e6fa8fe87
782,GC-75,60,3,7.5,5.5kW,65,"2-1/2""",N/A,320,55,180,Grinder,https://www.hungpump.com/gc,30.0,260.0,99710e81-23b5-49ff-a85f-ab5741a4aecd
783,GC-75,60,3,7.5,5.5kW,65,"2-1/2""",N/A,320,55,180,Grinder,https://www.hungpump.com/gc,30.0,260.0,0c211fa6-f7b6-4597-9f96-a10a874622d2
785,GD-15,60,1,1.5,1.1kW,32,"1-1/4""",N/A,230,20,66,Grinder,https://www.hungpump.com/gd,10.0,170.0,a56ae021-44d0-46e1-868f-334c281e6f5a
786,GD-15,60,3,1.5,1.1kW,32,"1-1/4""",N/A,230,20,66,Grinder,https://www.hungpump.com/gd,10.0,170.0,f38c7afb-a026-4d6e-8f4b-673fdd4d5cb2
787,GD-15,60,3,1.5,1.1kW,32,"1-1/4""",N/A,230,20,66,Grinder,https://www.hungpump.com/gd,10.0,170.0,85024635-98ed-4d5b-ac80-5968a137988a
788,GD-15,60,3,1.5,1.1kW,32,"1-1/4""",N/A,230,20,66,Grinder,https://www.hungpump.com/gd,10.0,170.0,c1f1d884-8923-40e8-ac5e-6dde55ad2c4b
789,GD-20,60,1,2,1.5kW,32,"1-1/4""",N/A,235,23,75,Grinder,https://www.hungpump.com/gd,15.0,150.0,a5eeb8f7-f9df-4fa2-b95a-7f35d0163060
790,GD-20,60,3,2,1.5kW,32,"1-1/4""",N/A,235,23,75,Grinder,https://www.hungpump.com/gd,15.0,150.0,35315d4a-ad0e-4e0a-aa78-b409eb9467f0
791,GD-20,60,3,2,1.5kW,32,"1-1/4""",N/A,235,23,75,Grinder,https://www.hungpump.com/gd,15.0,150.0,40b834c6-d5fc-4f97-88e3-5506a190b176
792,GD-20,60,3,2,1.5kW,32,"1-1/4""",N/A,235,23,75,Grinder,https://www.hungpump.com/gd,15.0,150.0,0b0ee865-6b6f-4a43-a5a1-e9fc4ec4ce34
793,GD-30,60,3,3,2.2kW,32,"1-1/4""",N/A,235,28,92,Grinder,https://www.hungpump.com/gd,15.0,200.0,76409fb3-9d60-498f-92d4-e858f52ff2b4
794,GD-30,60,3,3,2.2kW,32,"1-1/4""",N/A,235,28,92,Grinder,https://www.hungpump.com/gd,15.0,200.0,b3ffbaa4-9e3f-4cee-b79e-32018f1b28d3
795,GDH-15,60,1,1.5,1.1kW,32,"1-1/4""",N/A,110,29,95,Grinder,https://www.hungpump.com/gdh,20.0,80.0,a5cb6b55-f2c7-40cb-b521-9688417189c7
796,GDH-15,60,3,1.5,1.1kW,32,"1-1/4""",N/A,110,29,95,Grinder,https://www.hungpump.com/gdh,20.0,80.0,abb493fb-bb58-4bee-aa85-37209214f227
797,GDH-15,60,3,1.5,1.1kW,32,"1-1/4""",N/A,110,29,95,Grinder,https://www.hungpump.com/gdh,20.0,80.0,eb805c76-9e25-4eb0-a246-0e10befcd877
798,GDH-15,60,3,1.5,1.1kW,32,"1-1/4""",N/A,110,29,95,Grinder,https://www.hungpump.com/gdh,20.0,80.0,c3a7abc6-c4e5-4ea5-860f-4313853f5994
799,GDH-20,60,1,2,1.5kW,32,"1-1/4""",N/A,175,30,98,Grinder,https://www.hungpump.com/gdh,20.0,135.0,37031430-9d59-4d6a-872d-38301d3a7593
801,GDH-20,60,3,2,1.5kW,32,"1-1/4""",N/A,175,30,98,Grinder,https://www.hungpump.com/gdh,20.0,135.0,00ac38c7-82ca-45cf-940a-b50c4759a257
802,GDH-20,60,3,2,1.5kW,32,"1-1/4""",N/A,175,30,98,Grinder,https://www.hungpump.com/gdh,20.0,135.0,80840570-7c99-4506-9257-c3f1905f2631
803,GDH-20,60,3,2,1.5kW,32,"1-1/4""",N/A,175,30,98,Grinder,https://www.hungpump.com/gdh,20.0,135.0,6a10b43f-15f7-4fc7-b676-0fc7ae8cff28
805,GS-15,60,1,1.5,1.1kW,32,"1-1/4""",N/A,50,85,280,Grinder,https://www.hungpump.com/gs,50.0,20.0,6d45b886-51f1-4493-b467-c7a8b8a6a0b6
806,GS-15,60,3,1.5,1.1kW,32,"1-1/4""",N/A,50,85,280,Grinder,https://www.hungpump.com/gs,50.0,20.0,41af520a-ee7c-4bca-9cff-f6477bcaaacf
807,GS-15,60,3,1.5,1.1kW,32,"1-1/4""",N/A,50,85,280,Grinder,https://www.hungpump.com/gs,50.0,20.0,b26cebd6-be02-47a1-a687-f899359d3811
808,HD-10,60,1,1,750W,80,"3""",10.0,600,9.5,31,,https://www.hungpump.com/hd,6.0,320.0,feb47784-4d3a-4f7c-b80d-f8cee296c4c7
809,HD-10,60,1,1,750W,80,"3""",10.0,600,9.5,31,,https://www.hungpump.com/hd,6.0,320.0,6a512c2c-564a-4438-adf8-cd3bf2456b77
810,HD-10,60,3,1,750W,80,"3""",10.0,600,9.5,31,,https://www.hungpump.com/hd,6.0,320.0,a2032300-d391-4923-ad4f-3a986bf775c0
811,HD-10,60,3,1,750W,80,"3""",10.0,600,9.5,31,,https://www.hungpump.com/hd,6.0,320.0,0b3f866f-f223-4fbb-90bb-48ef17c17411
812,HD-15,60,1,1.5,1.1kW,80,"3""",10.0,820,10,33,,https://www.hungpump.com/hd,6.0,440.0,4def97bc-ab1a-4cb5-986c-8abba986d900
813,HD-15,60,1,1.5,1.1kW,80,"3""",10.0,820,10,33,,https://www.hungpump.com/hd,6.0,440.0,973979d4-0200-4e80-84c0-60c9412bc2ee
814,HD-15,60,3,1.5,1.1kW,80,"3""",10.0,820,10,33,,https://www.hungpump.com/hd,6.0,440.0,616953ee-54c8-426e-a357-b3ed8e73db9e
815,HD-15,60,3,1.5,1.1kW,80,"3""",10.0,820,10,33,,https://www.hungpump.com/hd,6.0,440.0,58ca4119-88fb-4276-b722-a3c3a1e6eb15
816,HD-20,60,1,2,1.5kW,80,"3""",10.0,1050,11.5,38,,https://www.hungpump.com/hd,6.0,790.0,26ea3a02-4d97-4caf-b24a-e28f22190563
817,HD-20,60,3,2,1.5kW,80,"3""",10.0,1050,11.5,38,,https://www.hungpump.com/hd,6.0,790.0,2b3b9811-9664-4c6e-98fc-b8bd249d7784
818,HD-20,60,3,2,1.5kW,80,"3""",10.0,1050,11.5,38,,https://www.hungpump.com/hd,6.0,790.0,2b3be825-9303-47e0-b04b-9f3391241cf9
822,HF-10,60,1,1,750W,100,"4""",19.0,850,8,26,Sewage and Wastewater,https://www.hungpump.com/hf,4.5,550.0,34744af6-81a2-40c6-a8a9-595bcc1784d4
823,HF-10,60,3,1,750W,100,"4""",19.0,850,8,26,Sewage and Wastewater,https://www.hungpump.com/hf,4.5,550.0,c73103ce-cfe5-43a7-9fd6-68ea731117a4
824,HF-10,60,3,1,750W,100,"4""",19.0,850,8,26,Sewage and Wastewater,https://www.hungpump.com/hf,4.5,550.0,cffbf0e1-4ed4-423d-b595-34c7813b0116
825,HF-20,60,1,2,1.5kW,100,"4""",19.0,1200,12,39,Sewage and Wastewater,https://www.hungpump.com/hf,7.5,610.0,04b5266f-8dd6-48aa-976a-15c3192b4c82
826,HF-20,60,3,2,1.5kW,100,"4""",19.0,1200,12,39,Sewage and Wastewater,https://www.hungpump.com/hf,7.5,610.0,00a5a98e-f675-4ae8-bcc8-3cbb96f97dd7
827,HF-20,60,3,2,1.5kW,100,"4""",19.0,1200,12,39,Sewage and Wastewater,https://www.hungpump.com/hf,7.5,610.0,e2c92698-2e48-4f26-8855-541bfb1cd42d
846,JK-05,60,1,1/2,400W,50,"2""",30.0,320,9,30,Dirty Water,https://www.hungpump.com/jk,6.0,190.0,1577c59e-5f95-4916-837d-aca9bca3b8de
847,JK-05,60,1,1/2,400W,50,"2""",30.0,320,9,30,Dirty Water,https://www.hungpump.com/jk,6.0,190.0,e4e7864e-c3a6-463f-af15-fe6cfac16dee
848,JK-05,60,3,1/2,400W,50,"2""",30.0,320,9,30,Dirty Water,https://www.hungpump.com/jk,6.0,190.0,caff76ba-a085-45b9-aefd-1d9d5e4cfdb4
849,JK-05,60,3,1/2,400W,50,"2""",30.0,320,9,30,Dirty Water,https://www.hungpump.com/jk,6.0,190.0,6973458e-539a-4e71-bba8-de7add812d9b
850,JK-10,60,1,1,750W,50,"2""",30.0,400,12,39,Dirty Water,https://www.hungpump.com/jk,6.0,270.0,d5243363-d830-43f7-a66e-3a37ad4e1730
852,JK-10,60,1,1,750W,50,"2""",30.0,400,12,39,Dirty Water,https://www.hungpump.com/jk,6.0,270.0,ae8ce96f-40a8-48fe-a779-c014a05d9665
853,JK-10,60,3,1,750W,50,"2""",30.0,400,12,39,Dirty Water,https://www.hungpump.com/jk,6.0,270.0,e0d9b556-6c58-489b-8b65-01f88700ed10
854,JK-10,60,3,1,750W,50,"2""",30.0,400,12,39,Dirty Water,https://www.hungpump.com/jk,6.0,270.0,ce4a19ab-06e8-4714-b5f0-72d68b45145f
855,JK-20,60,1,2,1.5kW,80,"3""",35.0,620,18,59,Dirty Water,https://www.hungpump.com/jk,12.0,410.0,952e6a19-8772-4adf-91dd-4e36036d93f6
856,JK-20,60,3,2,1.5kW,80,"3""",35.0,620,18,59,Dirty Water,https://www.hungpump.com/jk,12.0,410.0,ff564022-47c6-4c86-8d0b-e948eb6be8fb
857,JK-20,60,3,2,1.5kW,80,"3""",35.0,620,18,59,Dirty Water,https://www.hungpump.com/jk,12.0,410.0,6e07e8be-6464-4402-a713-7b9b7721cfff
858,JK-30,60,3,3,2.2kW,80,"3""",35.0,780,18,59,Dirty Water,https://www.hungpump.com/jk,10.0,610.0,5731d33b-099c-443a-a6b3-74432641afac
859,JK-30,60,3,3,2.2kW,80,"3""",35.0,780,18,59,Dirty Water,https://www.hungpump.com/jk,10.0,610.0,dd373f2e-ef8d-4d3c-86fc-300df65ce6f3
860,JK-50,60,3,5,3.7kW,100,"4""",45.0,1100,22,72,Dirty Water,https://www.hungpump.com/jk,15.0,590.0,15abd090-d9f4-40c7-851d-c7a64cbf28a4
861,JK-50,60,3,5,3.7kW,100,"4""",45.0,1100,22,72,Dirty Water,https://www.hungpump.com/jk,15.0,590.0,fdd277ac-3796-40bf-bf8f-f5f95c30f263
862,JK-75,60,3,7.5,5.5kW,100,"4""",50.0,1200,24,79,Dirty Water,https://www.hungpump.com/jk,15.0,770.0,33bd9f66-5b53-4b89-a3e4-91d2d7f7d5a9
863,JK-75,60,3,7.5,5.5kW,100,"4""",50.0,1200,24,79,Dirty Water,https://www.hungpump.com/jk,15.0,770.0,918f63d1-cc97-447d-b04e-c7093df90705
884,KA-2.4,60,1,1/2,400W,50,"2""",7.0,250,12,39,Dirty Water,https://www.hungpump.com/ka,8.0,155.0,2e9e6245-de42-449d-ac78-1f8d5bdaa640
885,KA-2.4,60,1,1/2,400W,50,"2""",7.0,250,12,39,Dirty Water,https://www.hungpump.com/ka,8.0,155.0,76fee744-74ef-437b-9d3b-7b6c76ebfc28
886,KA-2.4A,60,1,1/2,400W,50,"2""",7.0,250,12,39,Dirty Water,https://www.hungpump.com/ka,8.0,155.0,ba34b85e-efa4-45df-9b31-f234307ff1cc
887,KA-2.4A,60,1,1/2,400W,50,"2""",7.0,250,12,39,Dirty Water,https://www.hungpump.com/ka,8.0,155.0,154c31b2-7ee5-475c-8be3-ab8a5e4a9e95
888,KA-2.4D,60,1,1/2,400W,50,"2""",7.0,250,12,39,Dirty Water,https://www.hungpump.com/ka,8.0,155.0,ea9e8e3a-078c-4c6c-a4b5-ff2a8c272e3d
889,KA-2.4D,60,1,1/2,400W,50,"2""",7.0,250,12,39,Dirty Water,https://www.hungpump.com/ka,8.0,155.0,e5e943c3-f9f0-4dbe-9739-cab8b517cb15
890,KA-2.4DA,60,1,1/2,400W,50,"2""",7.0,250,12,39,Dirty Water,https://www.hungpump.com/ka,8.0,155.0,070fe2dc-eb86-45ec-88c7-52e7631e9168
891,KA-2.4DA,60,1,1/2,400W,50,"2""",7.0,250,12,39,Dirty Water,https://www.hungpump.com/ka,8.0,155.0,7e939c96-ac83-49c3-991d-10f9980c7e1b
892,KA-2.4R,60,1,1/2,400W,50,"2""",2.8,160,15.5,51,Dirty Water,https://www.hungpump.com/ka,8.0,125.0,6578b14f-ca6b-4ab3-b83d-5f96d9f83379
893,KA-2.4R,60,1,1/2,400W,50,"2""",2.8,160,14,46,Dirty Water,https://www.hungpump.com/ka,8.0,110.0,0eb097d2-1723-46b0-9eee-3b4eac8e5a51
894,KA-2.75D,60,1,1,750W,50,"2""",7.0,220,20,66,Dirty Water,https://www.hungpump.com/ka,12.0,155.0,6ae00c38-ae94-476a-8340-8d694889a99e
895,KA-2.75D,60,1,1,750W,50,"2""",7.0,220,20,66,Dirty Water,https://www.hungpump.com/ka,12.0,155.0,762a728c-6ca5-4dab-84fe-974b5a2e331d
896,KA-2.75DA,60,1,1,750W,50,"2""",7.0,220,20,66,Dirty Water,https://www.hungpump.com/ka,12.0,155.0,8c0a90ae-9fdc-459d-b160-85399e5e2dec
897,KA-2.75DA,60,1,1,750W,50,"2""",7.0,220,20,66,Dirty Water,https://www.hungpump.com/ka,12.0,155.0,eda7298d-5bce-4cd7-959f-f18b46216fcd
898,KA-3.75D,60,1,1,750W,80,"3""",7.0,250,19,62,Dirty Water,https://www.hungpump.com/ka,12.0,175.0,8c16b3e4-2b8e-43aa-aaf7-86588e64b8a2
899,KA-3.75D,60,1,1,750W,80,"3""",7.0,250,19,62,Dirty Water,https://www.hungpump.com/ka,12.0,175.0,d049fc09-cc11-4a50-a9b4-0a6c755e06d0
900,KA-3.75DA,60,1,1,750W,80,"3""",7.0,250,19,62,Dirty Water,https://www.hungpump.com/ka,12.0,175.0,90f9985d-d289-4288-98fe-efaf43981d56
901,KA-3.75DA,60,1,1,750W,80,"3""",7.0,250,19,62,Dirty Water,https://www.hungpump.com/ka,12.0,175.0,33dedbe0-4a7c-414a-a2e0-62a95ddb8668
902,KHL-100,60,3,10,7.5kW,100,"4""",15.0,1680,38,125,,https://www.hungpump.com/khl,,1300.0,55c6dae7-e1c5-4471-9861-9c28d9077af5
903,KHL-100,60,3,10,7.5kW,100,"4""",15.0,1680,38,125,,https://www.hungpump.com/khl,25.0,1300.0,58ec1ed1-a3a2-4c5b-bd43-fbcd8f48eb1a
904,KHL-20,60,1,2,1.5kW,50,"2""",12.0,415,25,82,,https://www.hungpump.com/khl,15.0,370.0,0f153660-ede2-46d5-b171-fefacd135b8a
905,KHL-20,60,3,2,1.5kW,50,"2""",12.0,415,25,82,,https://www.hungpump.com/khl,15.0,370.0,7a7b02e8-d492-4d2f-88db-0f2bf2b552b3
906,KHL-20,60,3,2,1.5kW,50,"2""",12.0,415,25,82,,https://www.hungpump.com/khl,15.0,370.0,966678c4-d687-4175-a2cd-cc1ed96561a8
907,KHL-30,60,3,3,2.2kW,50,"2""",12.0,620,28,92,,https://www.hungpump.com/khl,15.0,490.0,ceafd1b3-c45b-467b-bfda-6fe2ea202fa7
908,KHL-30,60,3,3,2.2kW,50,"2""",12.0,620,28,92,,https://www.hungpump.com/khl,15.0,490.0,05db253d-d651-49ed-8725-cbde9e60db07
909,KHL-50,60,3,5,3.7kW,50,"2""",15.0,770,32,105,,https://www.hungpump.com/khl,20.0,620.0,3d99590f-2056-4b62-a714-14037990646c
910,KHL-50,60,3,5,3.7kW,50,"2""",15.0,770,32,105,,https://www.hungpump.com/khl,20.0,620.0,175ed250-9717-499c-8809-c2c181fcfd8b
911,KHL-75,60,3,7.5,5.5kW,80,"3""",15.0,1380,31,102,,https://www.hungpump.com/khl,20.0,1050.0,e1139413-833e-421e-948f-ec5dc2b8fe96
912,KHL-75,60,3,7.5,5.5kW,80,"3""",15.0,1380,31,102,,https://www.hungpump.com/khl,20.0,1050.0,3b7d85e0-a846-42c4-ab0e-4e6d3e52788f
915,KS-10,60,1,1,750W,50,"2""",6.0,420,14,46,,https://www.hungpump.com/ks,9.0,190.0,0f19314c-f5e1-430b-b538-7721ca22abf9
916,KS-10,60,1,1,750W,50,"2""",6.0,420,14,46,,https://www.hungpump.com/ks,9.0,190.0,ace1ce10-1612-4141-96e9-d6fae70fd8f8
