DB ID,Model No.,Frequency_Hz,Phase,HP,Power(KW),Outlet (mm),Outlet (inch),Pass Solid Dia(mm),Max Flow (LPM),Max Head (M),Max Head (ft),Category,Product Link,Head Rated/M,Q Rated/LPM,id
543,BCV-1500-35,60,3,2,1.5kW,80,"3""",35.0,680,18,59,Dirty Water,https://www.hungpump.com/bcv,12.0,440.0,2c2a624f-3bb7-4b29-a863-569824a32ad1
544,BCV-1500-50,60,1,2,1.5kW,80,"3""",50.0,720,16,52,Dirty Water,https://www.hungpump.com/bcv,9.0,480.0,58ec1c22-c616-4856-9139-b566276e00b9
545,BCV-1500-50,60,3,2,1.5kW,80,"3""",50.0,720,16,52,Dirty Water,https://www.hungpump.com/bcv,9.0,480.0,8744b518-ced7-4353-9d0f-14f7612e4d6f
546,BCV-1500-50,60,3,2,1.5kW,80,"3""",50.0,720,16,52,Dirty Water,https://www.hungpump.com/bcv,9.0,480.0,7232343a-1950-4d13-95a6-d460471ebbb0
547,BCV-1500-65,60,1,2,1.5kW,80,"3""",65.0,900,9,30,Dirty Water,https://www.hungpump.com/bcv,6.0,520.0,ca655c8f-73f5-479f-bf57-a4efb339e13e
548,BCV-1500-65,60,3,2,1.5kW,80,"3""",65.0,900,9,30,Dirty Water,https://www.hungpump.com/bcv,6.0,520.0,0d442317-f32c-4899-9a15-1c09e7c69146
549,BCV-1500-65,60,3,2,1.5kW,80,"3""",65.0,900,9,30,Dirty Water,https://www.hungpump.com/bcv,6.0,520.0,353cceb8-160b-4b06-9e0b-2ea986c511b8
550,BCV-2200-35,60,3,3,2.2kW,80,"3""",35.0,800,20,66,Dirty Water,https://www.hungpump.com/bcv,12.0,540.0,0749e78a-f4ac-4858-88c1-09e23e600e37
551,BCV-2200-35,60,3,3,2.2kW,80,"3""",35.0,800,20,66,Dirty Water,https://www.hungpump.com/bcv,12.0,540.0,2c92affc-a147-4576-9b65-fb29e6f545ae
552,BCV-2200-50,60,3,3,2.2kW,80,"3""",50.0,900,18,59,Dirty Water,https://www.hungpump.com/bcv,12.0,430.0,9c940407-d0a6-480f-8ceb-9644e7ef94f1
553,BCV-2200-50,60,3,3,2.2kW,80,"3""",50.0,900,18,59,Dirty Water,https://www.hungpump.com/bcv,12.0,430.0,cb73daa9-392d-4042-8e10-0da88688a204
554,BCV-2200-65,60,3,3,2.2kW,80,"3""",65.0,1200,11,36,Dirty Water,https://www.hungpump.com/bcv,6.0,700.0,6c915c3b-620e-4378-94e3-8c596ad8ea1b
555,BCV-2200-65,60,3,3,2.2kW,80,"3""",65.0,1200,11,36,Dirty Water,https://www.hungpump.com/bcv,6.0,700.0,62090980-a74a-407b-87d7-fa8851268c87
556,BCV-2200-80,60,3,3,2.2kW,80,"3""",80.0,1300,9,30,Dirty Water,https://www.hungpump.com/bcv,6.0,800.0,2a9ae413-514d-4ac6-83e5-31eb95c6d94d
557,BCV-2200-80,60,3,3,2.2kW,80,"3""",80.0,1300,9,30,Dirty Water,https://www.hungpump.com/bcv,6.0,800.0,86eb95a1-5829-4bbc-9924-efddae8e91b2
558,BCV-3700-50,60,3,5,3.7kW,100,"4""",50.0,1100,21,69,Dirty Water,https://www.hungpump.com/bcv,12.0,690.0,8571fff8-552b-4dd0-acaa-13edb4e8cdfd
559,BCV-3700-50,60,3,5,3.7kW,100,"4""",50.0,1100,21,69,Dirty Water,https://www.hungpump.com/bcv,12.0,690.0,980a9f77-99a7-43e9-adeb-d6d139ac83f0
560,BCV-3700-80,60,3,5,3.7kW,100,"4""",80.0,1500,11,36,Dirty Water,https://www.hungpump.com/bcv,6.0,1060.0,aca20990-55b3-4adf-bd2a-46284b0a7ac5
561,BCV-3700-80,60,3,5,3.7kW,100,"4""",80.0,1500,11,36,Dirty Water,https://www.hungpump.com/bcv,6.0,1060.0,83905df8-9f76-4248-865e-7610ba0e3eff
562,BCV-400-30,60,1,1/2,400W,50,"2""",30.0,320,9,30,Dirty Water,https://www.hungpump.com/bcv,6.0,200.0,f2dfd16d-cb77-4af4-b005-a59a927904d9
563,BCV-400-30,60,1,1/2,400W,50,"2""",30.0,320,9,30,Dirty Water,https://www.hungpump.com/bcv,6.0,200.0,a23385a7-f4e3-4a9b-9ae7-0ee9f0013952
564,BCV-400-50,60,1,1/2,400W,50,"2""",50.0,380,7,23,Dirty Water,https://www.hungpump.com/bcv,4.0,250.0,92adf070-113a-4d6b-bab0-5b24681f7e99
565,BCV-400-50,60,1,1/2,400W,50,"2""",50.0,380,7,23,Dirty Water,https://www.hungpump.com/bcv,4.0,250.0,157070ab-d8b3-4c71-b566-5ec132e22d9d
566,BCV-5500-50,60,3,5,3.7kW,100,"4""",50.0,1200,28,92,Dirty Water,https://www.hungpump.com/bcv,15.0,850.0,09c87eec-5354-41dc-843e-ea5cfb917421
567,BCV-5500-50,60,3,5,3.7kW,100,"4""",50.0,1200,28,92,Dirty Water,https://www.hungpump.com/bcv,15.0,850.0,db0b9ce0-37c8-40b9-8b9a-923b54a55932
568,BCV-750-30,60,1,1,750W,50,"2""",30.0,380,12,39,Dirty Water,https://www.hungpump.com/bcv,6.0,270.0,38f616df-bf75-4e5c-8bb0-0ebcead01d4a
569,BCV-750-30,60,1,1,750W,50,"2""",30.0,380,12,39,Dirty Water,https://www.hungpump.com/bcv,6.0,270.0,603a9808-20bc-4070-8224-d12b1efdf7c6
570,BCV-750-50,60,1,1,750W,50,"2""",50.0,500,10,33,Dirty Water,https://www.hungpump.com/bcv,6.0,370.0,1d24cdec-4aa3-4f60-b99e-77bea5f601d0
571,BCV-750-50,60,1,1,750W,50,"2""",50.0,500,10,33,Dirty Water,https://www.hungpump.com/bcv,6.0,370.0,bddad0fe-2c86-4477-bfb5-f791b6ab2b19
574,BPH-300,60,1,1/3,300W,40,"1-1/2""",3.0,75,21,69,Clean Water,https://www.hungpump.com/bph,12.0,50.0,01f130d3-e5cd-4166-b732-fb4d7390cdcc
575,BPH-300,60,1,1/3,300W,40,"1-1/2""",3.0,75,21,69,Clean Water,https://www.hungpump.com/bph,12.0,50.0,5f5dba3e-afd2-403a-a939-d3bee7140f4c
576,BPO-100,60,1,1/6,100W,25,"1""",3.0,70,6.5,21,Clean Water,https://www.hungpump.com/bpo,4.0,41.0,f7d3c816-c4bb-4dc6-ab7c-809767187331
577,BPO-100,60,1,1/6,100W,25,"1""",3.0,70,6.5,21,Clean Water,https://www.hungpump.com/bpo,4.0,41.0,819840a8-f10b-49a2-a843-1970134cb15e
578,BPO-100,60,1,1/6,100W,25,"1""",3.0,70,6,20,Clean Water,https://www.hungpump.com/bpo,3.0,60.0,1daee839-ce47-4531-a188-0a53c45b6147
592,BPS-100,60,1,1/6,100W,25,"1""",3.0,70,6.5,21,Clean Water,https://www.hungpump.com/bps,4.0,41.0,b01a3606-af5b-4223-b5da-5585ccdcb227
593,BPS-100,60,1,1/6,100W,25,"1""",3.0,70,6.5,21,Clean Water,https://www.hungpump.com/bps,4.0,41.0,296c47c2-c271-41a0-8d30-285e28da5c7d
600,BPS-200,60,1,1/4,200W,32,"1-1/4""",5.0,140,7,23,Clean Water,https://www.hungpump.com/bps,4.0,100.0,c4443ed4-0e8a-4a1d-a70a-53db705cdcd2
603,BPS-200,60,1,1/4,200W,32,"1-1/4""",5.0,140,7,23,Clean Water,https://www.hungpump.com/bps,4.0,100.0,1b3219e7-05a2-48e0-b0ce-471692fe49a9
608,BPS-300,60,1,1/3,300W,40,"1-1/2""",5.0,180,8,26,Clean Water,https://www.hungpump.com/bps,4.0,120.0,8e7fa2d9-e4ca-49e6-95c6-15444fc4c219
609,BPS-300,60,1,1/3,300W,40,"1-1/2""",5.0,180,8,26,Clean Water,https://www.hungpump.com/bps,4.0,120.0,b945c39c-d159-48e5-8c78-8380adbfda9e
612,BPS-400,60,1,1/2,400W,50,"2""",5.0,220,9,30,Clean Water,https://www.hungpump.com/bps,6.0,100.0,6e573166-aa3c-4886-8e66-1b7b4b004a51
613,BPS-400,60,1,1/2,400W,50,"2""",5.0,220,9,30,Clean Water,https://www.hungpump.com/bps,6.0,100.0,010f0484-1937-4a69-aef5-2d49433a576a
