Model No.,Frequency (Hz),Pole,HP,Power(KW),Outlet (mm),Outlet (inch),Pass Solid Dia(mm),Max Flow (LPM),Max Head (M),Max Head (ft),Category,Product Link
100ADL57.5,50,3,10,7.5kW,100,"4""",80,3050,22,72,Dirty Water,https://www.hungpump.com/adl
50ADVS5.75,50,1,1,750W,50,"2""",33,320,14,46,Dirty Water,https://www.hungpump.com/advs
50ADVS5.75,50,3,1,750W,50,"2""",33,320,14,46,Dirty Water,https://www.hungpump.com/advs
50ADVS5.75,50,3,1,750W,50,"2""",33,320,14,46,Dirty Water,https://www.hungpump.com/advs
50ADVS5.75A,50,1,1,750W,50,"2""",33,320,14,46,Dirty Water,https://www.hungpump.com/advs
50ADVS51.5,50,1,2,1.5kW,50,"2""",31,420,22,72,Dirty Water,https://www.hungpump.com/advs
50ADVS51.5,50,3,2,1.5kW,50,"2""",31,420,22,72,Dirty Water,https://www.hungpump.com/advs
65ADL51.5,50,1,2,1.5kW,65,"2-1/2""",40,850,15,49,Dirty Water,https://www.hungpump.com/adl
65ADL51.5,50,3,2,1.5kW,65,"2-1/2""",40,850,15,49,Dirty Water,https://www.hungpump.com/adl
65ADVS51.5,50,1,2,1.5kW,65,"2-1/2""",45,700,17,56,Dirty Water,https://www.hungpump.com/advs
65ADVS51.5,50,3,2,1.5kW,65,"2-1/2""",45,700,17,56,Dirty Water,https://www.hungpump.com/advs
80ADL51.5,50,1,2,1.5kW,80,"3""",50,1000,13,43,Dirty Water,https://www.hungpump.com/adl
80ADL51.5,50,3,2,1.5kW,80,"3""",50,1000,13,43,Dirty Water,https://www.hungpump.com/adl
80ADL52.2,50,3,3,2.2kW,80,"3""",50,1200,15,49,Dirty Water,https://www.hungpump.com/adl
80ADL53.7,50,3,5,3.7kW,80,"3""",48,1680,20,66,Dirty Water,https://www.hungpump.com/adl
80ADVS52.2,50,3,3,2.2kW,80,"3""",50,1100,19,62,Dirty Water,https://www.hungpump.com/advs
80ADVS53.7,50,3,5,3.7kW,80,"3""",55,1200,23,75,Dirty Water,https://www.hungpump.com/advs
BAH-400,50,1,1/2,400W,32,"1-1/4""",8,180,20,66,Dirty Water,https://www.hungpump.com/bah
BAH-750,50,1,1,750W,50,"2""",8,220,25,82,Dirty Water,https://www.hungpump.com/bah
BAH-750,50,3,1,750W,50,"2""",8,220,25,82,Dirty Water,https://www.hungpump.com/bah
BAH-750-1,50,1,1,750W,50,"2""",8,220,25,82,Dirty Water,https://www.hungpump.com/bah
BAH-750-3,50,3,1,750W,50,"2""",8,220,25,82,Dirty Water,https://www.hungpump.com/bah
BAS-100,50,1,1/6,100W,25,"1""",7,90,6,20,Dirty Water,https://www.hungpump.com/bas
BAS-200,50,1,1/4,200W,32,"1-1/4""",7,140,7,23,Dirty Water,https://www.hungpump.com/bas
BAS-200A,50,1,1/4,200W,32,"1-1/4""",7,140,7,23,Dirty Water,https://www.hungpump.com/bas
BAS-300,50,1,1/3,300W,40,"1-1/2""",9,200,8,26,Dirty Water,https://www.hungpump.com/bas
BAS-300A,50,1,1/3,250W,40,"1-1/2""",9,200,8,26,Dirty Water,https://www.hungpump.com/bas
BAS-400,50,1,1/2,400W,50,"2""",12,270,10,33,Dirty Water,https://www.hungpump.com/bas
BAS-400A,50,1,1/2,400W,50,"2""",12,270,10,33,Dirty Water,https://www.hungpump.com/bas
BAS-600,50,1,3/4,600W,50,"2""",15,300,11,36,Dirty Water,https://www.hungpump.com/bas
BAS-600A,50,1,3/4,600W,50,"2""",15,300,11,36,Dirty Water,https://www.hungpump.com/bas
BAV-150,50,1,1/5,150W,32,"1-1/4""",10,160,6,20,Dirty Water,https://www.hungpump.com/bav
BAV-150S,50,1,1/5,150W,32,"1-1/4""",10,160,6,20,Dirty Water,https://www.hungpump.com/bav
BAV-150SV,50,1,1/5,150W,32,"1-1/4""",10,160,6,20,Dirty Water,https://www.hungpump.com/bav
BAV-150,50,3,1/5,150W,32,"1-1/4""",10,160,6,20,Dirty Water,https://www.hungpump.com/bav
BAV-1500(鐵),50,1,2,1.5kW,80,"3""",40,700,16,52,Dirty Water,https://www.hungpump.com/bav
BAV-1500(鐵),50,3,2,1.5kW,80,"3""",40,700,16,52,Dirty Water,https://www.hungpump.com/bav
BAV-1500-1,50,1,2,1.5kW,80,"3""",40,700,16,52,Dirty Water,https://www.hungpump.com/bav
BAV-1500A(鐵),50,1,2,1.5kW,80,"3""",40,700,16,52,Dirty Water,https://www.hungpump.com/bav
BAV-150A,50,1,1/5,150W,32,"1-1/4""",10,160,6,20,Dirty Water,https://www.hungpump.com/bav
BAV-250,50,1,1/3,250W,40,"1-1/2""",25,200,8,26,Dirty Water,https://www.hungpump.com/bav
BAV-250A,50,1,1/3,250W,40,"1-1/2""",25,200,8,26,Dirty Water,https://www.hungpump.com/bav
BAV-250T,50,3,1/3,250W,40,"1-1/2""",25,200,8,26,Dirty Water,https://www.hungpump.com/bav
BAV-400,50,1,1/2,400W,50,"2""",30,300,10,33,Dirty Water,https://www.hungpump.com/bav
BAV-400,50,3,1/2,400W,50,"2""",30,300,10,33,Dirty Water,https://www.hungpump.com/bav
BAV-400,50,3,1/2,400W,50,"2""",30,300,10,33,Dirty Water,https://www.hungpump.com/bav
BAV-400A,50,1,1/2,400W,50,"2""",30,300,10,33,Dirty Water,https://www.hungpump.com/bav
BAV-400S,50,1,1/2,400W,50,"2""",30,300,10,33,Dirty Water,https://www.hungpump.com/bav
BAV-400S,50,3,1/2,400W,50,"2""",30,300,10,33,Dirty Water,https://www.hungpump.com/bav
BAV-400SJ,50,1,1/2,400W,50,"2""",30,300,10,33,Dirty Water,https://www.hungpump.com/bav
BAV-400ST,50,3,1/2,400W,50,"2""",30,300,10,33,Dirty Water,https://www.hungpump.com/bav
BAV-550,50,1,3/4,550W,50,"2""",35,340,12,39,Dirty Water,https://www.hungpump.com/bav
BAV-550A,50,1,3/4,550W,50,"2""",35,340,12,39,Dirty Water,https://www.hungpump.com/bav
BAV-550,50,3,3/4,550W,50,"2""",35,340,12,39,Dirty Water,https://www.hungpump.com/bav
BAV-550T,50,3,3/4,550W,50,"2""",35,340,12,39,Dirty Water,https://www.hungpump.com/bav
BAV-550S,50,3,3/4,550W,50,"2""",35,340,12,39,Dirty Water,https://www.hungpump.com/bav
BAV-750,50,3,1,750W,80,"3""",37,415,11,36,Dirty Water,https://www.hungpump.com/bav
BAV-750-1,50,1,1,750W,80,"3""",37,415,11,36,Dirty Water,https://www.hungpump.com/bav
BAV-750-3,50,3,1,750W,80,"3""",37,415,11,36,Dirty Water,https://www.hungpump.com/bav
BAV-750A,50,1,1,750W,80,"3""",37,415,11,36,Dirty Water,https://www.hungpump.com/bav
BAV-750J,50,1,1,750W,80,"3""",37,415,11,36,Dirty Water,https://www.hungpump.com/bav
BCV-1500-35,50,1,2,1.5kW,80,"3""",35,680,18,59,Dirty Water,https://www.hungpump.com/bcv
BCV-1500-35,50,3,2,1.5kW,80,"3""",35,680,18,59,Dirty Water,https://www.hungpump.com/bcv
BCV-1500-50,50,1,2,1.5kW,80,"3""",50,720,15,49,Dirty Water,https://www.hungpump.com/bcv
BCV-1500-50,50,3,2,1.5kW,80,"3""",50,720,15,49,Dirty Water,https://www.hungpump.com/bcv
BCV-1500-65,50,1,2,1.5kW,80,"3""",65,900,9,30,Dirty Water,https://www.hungpump.com/bcv
BCV-1500-65,50,3,2,1.5kW,80,"3""",65,900,9,30,Dirty Water,https://www.hungpump.com/bcv
BCV-2200-35,50,3,3,2.2kW,80,"3""",35,800,20,66,Dirty Water,https://www.hungpump.com/bcv
BCV-2200-50,50,3,3,2.2kW,80,"3""",50,900,18,59,Dirty Water,https://www.hungpump.com/bcv
BCV-2200-65,50,3,3,2.2kW,80,"3""",65,1200,11,36,Dirty Water,https://www.hungpump.com/bcv
BCV-2200-80,50,3,3,2.2kW,80,"3""",80,1300,8.5,28,Dirty Water,https://www.hungpump.com/bcv
BCV-3700-50,50,3,5,3.7kW,100,"4""",50,1100,21,69,Dirty Water,https://www.hungpump.com/bcv
BCV-3700-80,50,3,5,3.7kW,100,"4""",80,1400,10,33,Dirty Water,https://www.hungpump.com/bcv
BCV-400-30,50,1,1/2,400W,50,"2""",30,320,9,30,Dirty Water,https://www.hungpump.com/bcv
BCV-400-50,50,1,1/2,400W,50,"2""",50,380,7,23,Dirty Water,https://www.hungpump.com/bcv
BCV-5500-50,50,3,7.5,5.5kW,100,"4""",50,1200,24,79,Dirty Water,https://www.hungpump.com/bcv
BCV-750-30,50,1,1,750W,50,"2""",30,370,12,39,Dirty Water,https://www.hungpump.com/bcv
BCV-750-50,50,1,1,750W,50,"2""",50,500,10,33,Dirty Water,https://www.hungpump.com/bcv
BCV-750-50,50,3,1,750W,50,"2""",50,500,10,33,Dirty Water,https://www.hungpump.com/bcv
BCV-750A,50,1,1,750W,50,"2""",50,500,10,33,Dirty Water,https://www.hungpump.com/bcv
BDC-400,50,1,1/2,400W,50,"2""",N/A,185,6,20,,https://www.hungpump.com/bdc
BPH-300,50,1,1/3,300W,40,"1-1/2""",3,95,18,59,,https://www.hungpump.com/bph
BPO-100-110V,50,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bpo
BPO-100-220V,50,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bpo
BPO-100EA,50,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bpo
BPO-300,50,1,1/3,300W,40,"1-1/2""",6,200,8.5,28,Clean Water,https://www.hungpump.com/bpo
BPO-300A,50,1,1/3,300W,40,"1-1/2""",6,200,8.5,28,Clean Water,https://www.hungpump.com/bpo
BPO-300EA,50,1,1/3,300W,40,"1-1/2""",6,200,8.5,28,Clean Water,https://www.hungpump.com/bpo
BPS-100,50,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPO-100,50,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bpo
BPO-100A,50,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bpo
BPS-100,50,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-100A,50,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-100-110V,50,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-100A,50,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-100B,50,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-100B-110V,50,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-100BV,50,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-100BV-110V,50,1,1/6,100W,25,"1""",3,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-120,50,1,1/6,100W,25,"1""",5,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-120A,50,1,1/6,100W,25,"1""",5,70,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-180D,50,1,1/6,100W,25,"1""",5,120,5.5,18,Clean Water,https://www.hungpump.com/bps
BPS-180DM,50,1,1/6,100W,25,"1""",5,120,5.5,18,Clean Water,https://www.hungpump.com/bps
BPS-130M,50,1,1/6,100W,32,"1-1/4""",5,120,5.5,18,Clean Water,https://www.hungpump.com/bps
BPS-180M,50,1,1/6,100W,25,"1""",5,120,5.5,18,Clean Water,https://www.hungpump.com/bps
BPS-200,50,1,1/4,200W,32,"1-1/4""",5,140,7,23,Clean Water,https://www.hungpump.com/bps
BPS-200A,50,1,1/4,200W,32,"1-1/4""",5,140,7,23,Clean Water,https://www.hungpump.com/bps
BPO-200-110V,50,1,1/4,200W,32,"1-1/4""",5,140,7,23,Clean Water,https://www.hungpump.com/bpo
BPS-200D,50,1,1/4,200W,32,"1-1/4""",5,180,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-200DA,50,1,1/4,200W,32,"1-1/4""",5,180,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-200DM,50,1,1/4,200W,32,"1-1/4""",5,180,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-200M,50,1,1/4,200W,32,"1-1/4""",5,180,6.5,21,Clean Water,https://www.hungpump.com/bps
BPS-200S,50,1,1/4,200W,32,"1-1/4""",5,140,7,23,Clean Water,https://www.hungpump.com/bps
BPS-300,50,1,1/3,300W,40,"1-1/2""",5,180,8,26,Clean Water,https://www.hungpump.com/bps
BPS-300H,50,1,1/3,300W,40,"1-1/2""",3,95,18,59,Clean Water,https://www.hungpump.com/bps
BPS-400,50,1,1/2,400W,50,"2""",5,220,9,30,Clean Water,https://www.hungpump.com/bps
BPS-400A,50,1,1/2,400W,50,"2""",5,220,9,30,Clean Water,https://www.hungpump.com/bps
BPS-400S,50,1,1/2,400W,50,"2""",5,220,9,30,Clean Water,https://www.hungpump.com/bps
BPS-80,50,1,1/10,80W,20,"3/4""",3,40,4,13,Clean Water,https://www.hungpump.com/bps
DC-1812,50,1,96W,96W,25,"1""",5,115,4.6,15,Speciality Pump,https://www.hungpump.com/dc
DC-1824,50,1,120W,120W,25,"1""",5,115,4.6,15,Speciality Pump,https://www.hungpump.com/dc
DC-2312,50,1,132W,132W,25,"1""",5,145,5.2,17,Speciality Pump,https://www.hungpump.com/dc
DC-2324,50,1,132W,132W,25,"1""",5,145,5.2,17,Speciality Pump,https://www.hungpump.com/dc
DC-3024,50,1,168W,168W,32,"1-1/4""",5,190,5.5,18,Speciality Pump,https://www.hungpump.com/dc
DS-05,50,1,1/2,400W,50,"2""",15,270,10,33,,https://www.hungpump.com/ds
